地域コード(文字列型),地域コード(数値型),地方,都道府県,地域,緯度,経度
900,900,未設定,,地域未設定,,
901,901,不明,,地域不明,,
905,905,外国,,日本以外,,
010,10,北海道,北海道,北海道 石狩,43.062,141.354
015,15,北海道,北海道,北海道 渡島,41.820,140.753
020,20,北海道,北海道,北海道 檜山,41.859,140.128
025,25,北海道,北海道,北海道 後志,42.902,140.756
030,30,北海道,北海道,北海道 空知,43.198,141.767
035,35,北海道,北海道,北海道 上川,43.808,142.439
040,40,北海道,北海道,北海道 留萌,43.935,141.656
045,45,北海道,北海道,北海道 宗谷,45.398,141.700
050,50,北海道,北海道,北海道 網走,44.027,144.261
055,55,北海道,北海道,北海道 胆振,42.321,140.972
060,60,北海道,北海道,北海道 日高,42.173,142.768
065,65,北海道,北海道,北海道 十勝,42.930,143.208
070,70,北海道,北海道,北海道 釧路,42.977,144.345
075,75,北海道,北海道,北海道 根室,43.330,145.585
100,100,東北,青森,青森津軽,40.759,140.428
105,105,東北,青森,青森三八上北,40.610,141.325
106,106,東北,青森,青森下北,41.293,141.183
110,110,東北,岩手,岩手沿岸北部,39.843,141.796
111,111,東北,岩手,岩手沿岸南部,39.082,141.709
115,115,東北,岩手,岩手内陸,39.702,141.154
120,120,東北,宮城,宮城北部,38.540,141.128
125,125,東北,宮城,宮城南部,38.172,140.892
130,130,東北,秋田,秋田沿岸,39.720,140.104
135,135,東北,秋田,秋田内陸,39.700,140.731
140,140,東北,山形,山形庄内,38.727,139.827
141,141,東北,山形,山形最上,38.765,140.302
142,142,東北,山形,山形村山,38.255,140.340
143,143,東北,山形,山形置賜,37.922,140.117
150,150,東北,福島,福島中通り,37.401,140.360
151,151,東北,福島,福島浜通り,37.449,141.013
152,152,東北,福島,福島会津,37.460,139.841
200,200,関東,茨城,茨城北部,36.457,140.486
205,205,関東,茨城,茨城南部,36.083,140.076
210,210,関東,栃木,栃木北部,36.961,140.046
215,215,関東,栃木,栃木南部,36.426,139.803
220,220,関東,群馬,群馬北部,36.678,138.999
225,225,関東,群馬,群馬南部,36.389,139.063
230,230,関東,埼玉,埼玉北部,36.147,139.388
231,231,関東,埼玉,埼玉南部,35.925,139.485
232,232,関東,埼玉,埼玉秩父,35.991,139.085
240,240,関東,千葉,千葉北東部,35.707,140.564
241,241,関東,千葉,千葉北西部,35.607,140.106
242,242,関東,千葉,千葉南部,35.330,139.902
250,250,関東,東京,東京,35.699,139.502
255,255,関東,東京,伊豆諸島北部,34.377,139.257
260,260,関東,東京,伊豆諸島南部,34.075,139.479
265,265,関東,東京,小笠原,27.094,142.191
270,270,関東,神奈川,神奈川東部,35.443,139.638
275,275,関東,神奈川,神奈川西部,35.348,139.139
300,300,北陸,新潟,新潟上越,37.147,138.236
301,301,北陸,新潟,新潟中越,37.446,138.851
302,302,北陸,新潟,新潟下越,37.948,139.327
305,305,北陸,新潟,新潟佐渡,38.018,138.368
310,310,北陸,富山,富山東部,36.827,137.409
315,315,北陸,富山,富山西部,36.647,136.962
320,320,北陸,石川,石川能登,37.390,136.899
325,325,北陸,石川,石川加賀,36.561,136.656
330,330,北陸,福井,福井嶺北,35.956,136.184
335,335,北陸,福井,福井嶺南,35.461,135.857
340,340,甲信,山梨,山梨東部,35.551,138.905
345,345,甲信,山梨,山梨中・西部,35.608,138.464
350,350,甲信,長野,長野北部,36.648,138.194
351,351,甲信,長野,長野中部,36.238,137.972
355,355,甲信,長野,長野南部,35.551,137.878
400,400,東海,岐阜,岐阜飛騨,36.146,137.252
405,405,東海,岐阜,岐阜美濃,35.544,136.907
410,410,東海,静岡,静岡伊豆,34.976,138.946
411,411,東海,静岡,静岡東部,35.161,138.676
415,415,東海,静岡,静岡中部,34.867,138.257
416,416,東海,静岡,静岡西部,34.717,137.851
420,420,東海,愛知,愛知東部,34.898,137.497
425,425,東海,愛知,愛知西部,35.053,137.012
430,430,東海,三重,三重北中部,34.881,136.584
435,435,東海,三重,三重南部,34.211,136.337
440,440,近畿,滋賀,滋賀北部,35.380,136.278
445,445,近畿,滋賀,滋賀南部,35.067,136.025
450,450,近畿,京都,京都北部,35.474,135.385
455,455,近畿,京都,京都南部,35.011,135.768
460,460,近畿,大阪,大阪北部,34.816,135.568
465,465,近畿,大阪,大阪南部,34.483,135.423
470,470,近畿,兵庫,兵庫北部,35.544,134.820
475,475,近畿,兵庫,兵庫南部,34.853,134.931
480,480,近畿,奈良,奈良,34.396,135.857
490,490,近畿,和歌山,和歌山北部,34.065,135.254
495,495,近畿,和歌山,和歌山南部,33.678,135.348
500,500,中国,鳥取,鳥取東部,35.501,134.235
505,505,中国,鳥取,鳥取中・西部,35.495,133.693
510,510,中国,島根,島根東部,35.367,132.754
515,515,中国,島根,島根西部,34.899,132.079
514,514,中国,島根,島根隠岐,36.209,133.321
520,520,中国,岡山,岡山北部,35.069,134.004
525,525,中国,岡山,岡山南部,34.655,133.919
530,530,中国,広島,広島北部,34.666,132.704
535,535,中国,広島,広島南部,34.341,132.907
540,540,中国,山口,山口北部,34.408,131.399
